No.,Station Id,Avg. Test Fees,Station Name,Address,City,ZIP,Phone Number,Price,Tax,On the Spot Registration,Registration/Sticker Fee,Service Type,Detailed Information
31,234,$32,JERRY LAMBERT AUTOMOTIVE,398 EAST 3300 SOUTH,SALT LAKE CITY,84115,801- 895-7851,30,0,Yes,10,TestAndRepair,Na
32,240,$37,UPTOWN SERVICE,2276 EAST 2100 SOUTH,SALT LAKE CITY,84109,801- 466-0238,35,0,Yes,10,TestAndRepair,Na
33,246,$62,AUTO-MOTION,8054 SOUTH STATE ST,MIDVALE,84047,801-561-3601,48,0,No,Na,TestAndRepair,Na
34,250,$35,APOSHIAN GARAGE,1450 EAST 3300 SOUTH,SALT LAKE CITY,84106,801- 467-3344,Na,Na,Na,Na,Na,Na
35,264,$35,TERRYS CHEVRON SERVICE,572 WEST 9400 SOUTH,SANDY,84070,801- 561-4661,35,0,No,Na,TestAndRepair,Na
36,304,$36,ENGINUITY AUTOMOTIVE SVCS,5926 STRATLER ST. (380 W.),MURRAY,84107,385- 210-1934,Na,Na,Na,Na,Na,Na
37,339,$35,AIR VIEW SERVICE,1646 So 1100 E,SALT LAKE CITY,84105,801- 484-5807,35,0,Yes,10.76,TestAndRepair,Na
38,362,$35,B & R TIRE,2950 SOUTH 300 WEST,SALT LAKE CITY,84115,801- 487-7859,35,0,No,0,TestAndRepair,Na
39,371,$38,KEARNS AUTO CENTER INC,4219 WEST 5415 SOUTH,KEARNS,84118,801- 964-6273,30,0,Yes,0,TestAndRepair,Na
40,372,$33,PLOWGIAN AUTO REPAIR,1357 EAST 3300 SOUTH,SALT LAKE CITY,84106,801-467-2854,35,0,Yes,0,TestAndRepair,Na
41,383,$33,LARRY H. MILLER CHRYSLER,10905 SOUTH AUTOMALL DR,SANDY,84070,801-336-4676,35,0,No,Na,TestAndRepair,Na
42,389,$39,COLBY'S TIRE,909 W SOUTH TEMPLE,SALT LAKE CITY,84104,801- 596-2427,35,0,No,Na,TestAndRepair,Na
43,426,$34,TIRE WORLD,2627 SOUTH 300 WEST,SALT LAKE CITY,84115,801-487-6261,35,0,No,Na,TestAndRepair,Additional fees depend on vehicle.
44,448,$35,MILLERS FOREIGN CAR,60 E HARVARD AVE,SALT LAKE CITY,84111,801- 364-6792,35,0,No,Na,TestAndRepair,Na
45,456,$41,SPEEDWAY EMISSION,8131 So. REDWOOD RD.,WEST JORDAN,84088,801- 568-2400,35,0,Yes,8,TestAndRepair,Na
46,459,$33,JERRY SEINER BUICK GMC,10487 So. JORDAN GATEWAY (400 W.),SOUTH JORDAN,84095,801- 685-3463,33,0,Yes,7.5,TestAndRepair,Na
47,462,$34,MIKE HALE ACURA,5601 S STATE ST,MURRAY,84107,801--263-0202,33.95,0,Yes,0,TestAndRepair,Na
48,466,$30,PRO REPAIR AND SERVICE,4815 SOUTH 300 WEST,MURRAY,84107,801-268-1401,Na,Na,Na,Na,Na,Na
49,493,$36,PRECISION AUTOMOTIVE,6955 SOUTH 400 WEST,MIDVALE,84047,801- 561-2011,33,0,No,Na,TestAndRepair,Na
50,495,$35,JODY WILKINSON ACURA,1111 So. MAIN ST.,SALT LAKE CITY,84111,385- 202-7039,31,0,Yes,0,TestAndRepair,Na
51,512,$40,MASTER TECH AUTOMOTIVE,1717 SOUTH STATE,SALT LAKE CITY,84115,801- 485-1212,37.66,0,Yes,0,TestAndRepair,Na
52,525,$25,TRI AUTO REPAIR,56 E. FIRECLAY (4295 So.),MURRAY,84107,801-268-9963,Na,Na,Na,Na,Na,Na
53,527,$39,THIRD AVE. CAR CLINIC,3RD AVE. N STREET,SALT LAKE CITY,84103,801-364-0461,Na,Na,Na,Na,Na,Na
54,537,$32,JEFFREY P. DAVIS AUTO,4707 SO COMMERCE DR,MURRAY,84107,801-263-2002,32,0,Yes,7,TestAndRepair,Na
55,546,$35,MASTER MUFFLER,1595 WEST 7800 SOUTH,WEST JORDAN,84088,801-561-0901,35,0,Yes,10,TestAndRepair,Na
56,555,$45,YOUNG BROTHERS,918 E. SOUTH UNION BLVD. (7220 So.),MIDVALE,84047,801-562-1156,Na,Na,Na,Na,Na,Na
57,561,$25,MASTER MUFFLER,9235 SOUTH 700 EAST,SANDY,84070,801-566-0442,35,0,Yes,10.71,TestAndRepair,Na
58,574,$30,BT AUTOMOTIVE #574,7951 So. STATE ST,MIDVALE,84047,801-255-1340,30,0,Yes,0,TestAndRepair,Na
59,580,$36,MARK MILLER SUBARU,3535 SO STATE ST,SALT LAKE CITY,84115,801-268-3734,35,0,Yes,11,TestAndRepair,Na
60,608,$51,TIM DAHLE IMPORTS,4528 SOUTH STATE,MURRAY,84107,801-262-5521,42,0,Yes,10,TestAndRepair,Na
61,613,$36,LANCER AUTOMOTIVE INC.,3687 SOUTH 300 WEST,SALT LAKE CITY,84115,801-268-8863,32,0,Yes,8,TestAndRepair,Na
62,622,$26,KEN GARFF VOLVO/JAG/FIAT,150 E 500 S,SALT LAKE CITY,84111,801-257-3500,25,0,No,Na,TestAndRepair,Additional fees depend on vehicle.
63,648,$30,PURCELL TIRE COMPANY,2910 W. 2100 So.,West Valley,84119,801-974-0300,35,0,No,Na,TestAndRepair,Na
64,650,$26,MARK MILLER TOYOTA,730 SO WEST TEMPLE,SALT LAKE CITY,84101,801-328-2400,35,2.2,Yes,10.9,TestAndRepair,Na
65,658,$41,YOCUM AUTO REPAIR,9326 SOUTH 300 WEST,SANDY,84070,801-255-2062,40,0,Yes,10,TestAndRepair,Na
66,665,$33,MASTER MUFFLER,3865 SOUTH STATE,SALT LAKE CITY,84115,801-262-4676,35,0,Yes,0,TestAndRepair,Na
67,668,$39,LARRY H. MILLER LEXUS,5686 SO STATE ST,MURRAY,84107,801-264-3600,35,0,No,Na,TestAndRepair,Additional fees depend on vehicle.
68,681,$30,SALT LAKE VALLEY GMC,725 WEST 3300 SOUTH,SALT LAKE CITY,84119,801-265-1511,30,0,No,Na,TestAndRepair,Na
69,695,$30,MURRAY CAR CARE CENTER,5815 S STATE ST,MURRAY,84107,801-268-6891,30,0,Yes,10,TestAndRepair,Na
70,715,$35,MASTER MUFFLER,6790 SOUTH STATE,MURRAY,84107,801-255-5051,35,0,Yes,0,TestAndRepair,Na
71,741,$38,HILLSIDE TIRE,10651 SOUTH AUTOMALL DR.,SANDY,84070,801-572-1700,35,0,Yes,10,TestAndRepair,Na
72,746,$36,HILLSIDE TIRE,2255 FT. UNION BLVD. (6910 So.),SALT LAKE CITY,84121,801-944-0051,35,0,Yes,10,TestAndRepair,Na
73,748,$43,TURN KEY SERVICE,4701 SOUTH 300 WEST,MURRAY,84107,801-261-8034,38,0,Yes,0,TestAndRepair,Na
74,753,$32,ADVANCED AUTOMOTIVE,3994 So. 300 W. #1,MURRAY,84107,801-281-3028,25,0,No,Na,TestAndRepair,Additional fees depend on vehicle.
75,775,$40,CRAIG'S SERVICE CENTER,904 So 1300 E,Salt Lake City,84105,801-581-0114,39.5,0,Yes,10,TestAndRepair,Na
76,805,$31,LARRY H. MILLER HONDA,5808 SOUTH STATE,MURRAY,84107,801-268-5599,30,0,No,Na,TestAndRepair,Na
77,808,$30,D. DAHLE MAZDA,4595 SOUTH STATE,MURRAY,84107,801-266-0033,30,0,Yes,7.5,TestAndRepair,Na
78,810,$43,UTAH SAFETY and EMISSIONS,3718 WEST 5400 SOUTH,KEARNS,84118,801-964-6630,35,35,Yes,10,TestAndRepair,Na
79,831,$30,KEN GARFF NISSAN SL,777 S WEST TEMPLE,SALT LAKE CITY,84101,801-933-1930,30,0,No,Na,TestAndRepair,Na
80,832,$32,KEN GARFF WEST VALLEY DODGE,4175 WEST 3500 SOUTH,WEST VALLEY CITY,84120,801-955-7448,30,5,No,Na,TestAndRepair,Na
81,838,$25,NEW DEES AUTOMOTIVE,4062 S STATE ST,MURRAY,84107,801-262-0945,25,0,No,Na,TestAndRepair,Na
82,862,$53,QUICK LUBE,5555 SOUTH 900 EAST,SALT LAKE CITY,84117,801-281-2121,40,0,Yes,0,TestAndRepair,Na
83,863,$19,CU AUTO SALES,4144 S STATE ST,MURRAY,84107,801-263-1001,27,0,Yes,0,TestAndRepair,Na
84,870,$32,"UTAH VALLEY TIRE, INC.",420 SOUTH 500 EAST,SALT LAKE CITY,84102,801-355-8473,32,0,Yes,0,TestAndRepair,Na
85,893,$30,JAKES AUTO AND TRUCK REPAIR,12665 S. MINUTEMAN DR.,DRAPER,84020,801-571-4471,30,0,Yes,10,TestAndRepair,Na
86,895,$26,SUNS AUTO REPAIRS,2448 S CONSTITUTION BLVD,WEST VALLEY CITY,84119,801-974-9173,30,0,Yes,10,TestAndRepair,Na
87,898,$30,BOW TIE AUTO REPAIR,69 W 3400 S0.,SALT LAKE CITY,84115,801-355-7666,Na,Na,Na,Na,Na,Na
88,901,$30,AUTOGRAFF MOTOR WORKS,50 West 700 South,SALT LAKE CITY,84101,801-535-0060,30,0,Yes,9,TestAndRepair,Coupons may apply
89,904,$27,SANDY HIGH TECH AUTOMOTIVE,9217 SOUTH STATE,SANDY,84070,801-566-8171,26.5,0,Yes,6.5,TestAndRepair,Na
90,915,$48,ACTION AUTO,497 E 3900 S,Salt Lake City,84107,801-268-1359,37,0,No,Na,TestAndRepair,Na
91,924,$29,KEN GARFF HONDA,64 E. 900 SO.,SALT LAKE CITY,84111,801-505-9720,Na,Na,Na,Na,Na,Na
92,928,$41,TUNEX OF HUNTER,3549 SOUTH 5600 WEST,WEST VALLEY,84120,801-982-9476,38,,Yes,8.99,TestAndRepair,Na
93,931,$30,ROCKY MOUNTAIN TIRE and SER,6158 SOUTH STATE,MURRAY,84107,801-269-1616,30,0,No,Na,TestAndRepair,Na
94,934,$30,KARL MALONE TOYOTA,11453 S LONE PEAK PKWY,DRAPER,84020,801-810-2073,30,0,No,Na,TestAndRepair,Na
95,935,$30,STOCKTON 12 HONDA,10860 S AUTOMALL DR,SANDY,84070,801-981-4920,30,0,No,Na,TestAndRepair,Na
96,947,$47,AUTO MAGIC,7852 So. OLD BINGHAM HWY.,WEST JORDAN,84088,801-280-6897,35,0,Yes,15,TestAndRepair,Na
97,956,$38,BATEMAN TEXACO,1232 WEST 7000 SOUTH,WEST JORDAN,84084,801-352-2985,35,0,Yes,10,TestOnly ,"they do changes, but no repairs"
98,960,$37,RAPID LUBE,2330 S REDWOOD RD.,WEST VALLEY CITY,84119,801-975-0757,35,0,Na,Na,TestOnly,Na
99,973,$29,JOE'S REPAIR SHOP,390 EAST 1300 SOUTH,SALT LAKE CITY,84115,801-484-2074,30,0,No,Na,TestAndRepair,Na
100,974,$31,EMISSIONS PLUS,1390 EAST 3300 SOUTH,SALT LAKE CITY,84106,801-485-2403,30,0,Yes,10,TestOnly,Na
101,979,$41,IN AND OUT TESTING,4195 SOUTH 500 WEST,MURRAY,84123,801-266-8151,40,0,Yes,10,TestOnly,Na
102,981,$41,JIFFY LUBE NO.1147,1735 WEST 9000 SOUTH,WEST JORDAN,84088,801-566-4075,39,0,No,Na,TestAndRepair ,less than 3hr labor
103,982,$39,JIFFY LUBE NO.967,9045 S 255 W,SANDY,84070,801-562-2035,39,0,Yes,10,TestOnly,Na
104,983,$39,JIFFY LUBE NO.3,9 WEST 3300 SOUTH,SALT LAKE CITY,84115,801-487-9561,39,0,Yes,10,TestAndRepair,Na
105,984,$40,JIFFY LUBE NO.1224,804 EAST 400 SOUTH,SALT LAKE CITY,84102,801-363-6604,39,0,No,Na,TestAndRepair,less than 3hr labor
106,985,$39,JIFFY LUBE NO.1025,5601 S 900 E,MURRAY,84121,801-261-4808,39,0,Yes,10,TestAndRepair,Na
107,986,$44,JIFFY LUBE NO.1163,2350 EAST 4500 SOUTH,SALT LAKE CITY,84117,801-278-4760,39,0,No,Na,TestAndRepair,Na
108,987,$40,JIFFY LUBE NO.1119,2097 SOUTH 1200 EAST,SALT LAKE CITY,84105,801-466-9789,39,0,Yes,10,TestAndRepair ,no engine repair
109,990,$40,JIFFY LUBE NO.2043,6390 HIGHLAND DRIVE,SALT LAKE CITY,84121,801-278-7421,39,0,No,Na,TestAndRepair ,"no engine repair, do some oil changes etc"
110,993,$41,JIFFY LUBE NO.2021,757 W. NORTH TEMPLE,SALT LAKE CITY,84116,801-355-1385,39,0,Yes,10,TestAndRepair,"could do engine repair, but depends"
111,994,$38,JIFFY LUBE NO.2525,1625 W. 12600 So.,RIVERTON,84065,801-446-1315,39,0,Yes,10,TestAndRepair,coupons may apply
112,999,$37,JERRY SEINER CADILLAC,1530 S 500 W,SALT LAKE CITY,84115,385-282-4952,28,Not sure,Yes,7.5,TestAndRepair,Na
113,1001,$40,JIFFY LUBE No.2012,1331 EAST FORT UNION BLVD,SALT LAKE CITY,84121,801-943-4752,39,0,Yes,10,TestAndRepair,less than 4hr labor
114,1008,$28,HAVOLINE EXPRESS LUBE,10207 SOUTH REDWOOD ROAD,SOUTH JORDAN,84095,801-446-2916,25,0,No,Na,TestAndRepair,some repair
115,1009,$32,EMISSIONS PLUS NO.2,4087 WEST 5415 SOUTH,KEARNS,84118,801-964-5911,30,0,Yes,10,TestOnly,Na
116,1012,$38,HILLSIDE TIRE NO.3,12241 S. FACTORY OUTLET DRIVE,DRAPER,84020,801-619-6363,35,0,No,Na,TestAndRepair,Na
117,1017,$35,AUTO ROW EMISSIONS AND INSPECTIONS,9315 S 700 E,SANDY,84070,801-561-5200,35,0,No,Na,TestAndRepair,Na
118,1022,$39,BURT BROS TIRE and SERVICE,9325 SOUTH 1300 EAST,SANDY,84094,801-572-1970,39.5,0,Yes,10,TestAndRepair,Na
119,1028,$40,JIFFY LUBE NO.2715,3444 SOUTH 7200 WEST,MAGNA,84044,801-508-7721,39,0,Yes,10,TestAndRepair,Na
120,1030,$10,LOW BOOK SALES,3371 SOUTH STATE STREET,SALT LAKE CITY,84115,801-922-9168,Na,Na,Na,Na,Na,Na
121,1035,$32,EMISSIONS PLUS NO.3,10585 SOUTH 700 EAST,SANDY,84070,801-495-1601,30,0,Yes,10,TestOnly,Na
122,1039,$40,JIFFY LUBE NO.2018,1577 SOUTH FOOTHILL BLVD.,SALT LAKE CITY,84108,801-583-0290,39,0,Yes,10,TestAndRepair,Na
123,1042,$35,EMISSION TIME,2432 SO STATE ST,SALT LAKE CITY,84115,801-466-5434,35,0,Yes,10,TestAndRepair,Na
124,1047,$33,LARRY H MILLER SUPER FORD,1340 S 500 W,SALT LAKE CITY,84115,801-783-4473,30,0,Yes,10,TestAndRepair for ford,Na
125,1051,$45,KENT MUFFLER AND BRAKE,250 W 9210 S,SANDY,84070,801-816-1600,45,0,Yes,10,TestAndRepair,Na
126,1059,$44,HAVOLINE XPRESS LUBE,5534 W. 3500 S.,WEST VALLEY CITY,84120,801-966-1899,39,0,Yes,10,TestOnly,Na
127,1060,$32,M AND K AUTOMOTIVE,970 W. 1700 S.,SALT LAKE CITY,84104,801-886-1017,30,0,Yes,10,TestAndRepair,Na
128,1061,$30,BIG O TIRES,2830 W 3500 S,WEST VALLEY CITY,84119,801-967-7166,30,0,Yes,10,TestAndRepair,Na
129,1062,$35,CHRISTENSEN TIRE FACTORY,4607 S. 5600 W.,WEST VALLEY CITY,84120,801-840-0772,35,0,No,Na,TestAndRepair,Na
130,1064,$36,BIG O TIRES,2284 E. FT UNION BLVD,SALT LAKE CITY,84121,801-733-4242,35,0,Yes,10,TestAndRepair,Na
131,1071,$33,KN AUTOMOTIVE REPAIR,3447 S WEST TEMPLE,SALT LAKE CITY,84115,801-975-8991,30,0,Yes,10,TestAndRepair,Na
132,1072,$30,MURRAY AUTOMOTIVE,4872 S. 300 W.,MURRAY,84107,801-266-1663,30,0,No,Na,TestAndRepair,Na
133,1073,$32,M&M MOTOR CORPS/WSA,3663 So 300 W,SALT LAKE CITY,84115,801-327-9080,35,0,No,Na,TestAndRepair,Na
134,1075,$30,DIAGNOSTIC AUTOMOTIVE,12650 S. 1830 W.,RIVERTON,84065,801-253-4641,30,0,No,Na,TestAndRepair,Na
135,1076,$29,EL TIGRE MUFFLER and BRAKE,1733 SOUTH MAIN ST,SALT LAKE CITY,84115,801-466-8671,30,0,No,Na,TestAndRepair,Na
136,1077,$33,BRODYS CAR CARE,9245 S. 1300 E.,SANDY,84094,801-523-0055,30,0,Yes,10,TestAndRepair,Na
137,1079,$25,MR MUFFLER,105 W. 2100 S.,SALT LAKE CITY,84115,801-486-0733,25,0,Yes,10,TestAndRepair,Na
138,1081,$26,MICHAEL'S EMISSION,3506 W. 3500 S.,WEST VALLEY CITY,84119,801-967-9169,Na,Na,Na,Na,Na,Na
139,1084,$25,V AND H AUTO REPAIR,3820 S 3600 W,WEST VALLEY CITY,84119,801-840-5551,25,0,No,Na,TestAndRepair,Na
140,1090,$32,MASTER MUFFLER,690 S. MAIN,SALT LAKE CITY,84101,801-305-3049,30,0,No,Na,TestAndRepair,Na
141,1094,$25,JR AUTO REPAIR & BODY SH,5419 So 4015 W,TAYLORSVILLE,84118,801-966-0422,Na,Na,Na,Na,Na,Na
142,1096,$10,TERAFLEX,5680 W DANNON WAY,WEST JORDAN,84081,801-713-3314,33,0,No,Na,TestOnly,first & last thurday of ea ch month only
143,1097,$25,"STEWISH AUTOMOTIVE INC,",2888 E. 3300 So.,SALT LAKE CITY,84109,801-466-0792,Na,Na,Na,Na,Na,Na
144,1099,$33,QUALITY MUFFLER BRAKE,12258 S. 700 E.,DRAPER,84020,801-255-7199,33,0,No,Na,TestAndRepair,Na
145,1105,$34,LABRUM AUTOMOTIVE,3311 W. 12600 S.,RIVERTON,84065,801-302-5935,34,0,No,Na,TestAndRepair,Na
146,1106,$34,EMISSIONS PLUS,5221 W. 3500 So.,WEST VALLEY CITY,84120,801-966-8300,30,0,No,Na,TestOnly,Na
147,1107,$27,FIRESTONE TIRE & SERVICE,2158 W. 12600 S.,RIVERTON,84065,801-948-8544,27.5,0,Yes,10,TestAndRepair,Na
148,1108,$27,FIRESTONE TIRE & SERVICE,253 W. 9000 S.,SANDY,84070,801-308-8653,27.5,0,No,Na,TestAndRepair,Na
149,1109,$28,FIRESTONE TIRE & SERVICE,910 E. 6600 S.,MURRAY,84121,801-207-9496,27.5,0,Yes,10,TestAndRepair,Na
150,1115,$27,FIRESTONE TIRE & SERVICE,9030 SO REDWOOD RD,WEST JORDAN,84088,801-948-9139,27.5,0,Yes,10,TestAndRepair,Na
151,1116,$28,FIRESTONE TIRE & SERVICE,204 E. 300 S.,SALT LAKE CITY,84111,801-363-6741,Na,Na,Na,Na,Na,Na
152,1119,$25,KEARNS TUNEX,5313 So. 4015 W.,KEARNS,84118,801-967-9325,25,0,No,Na,TestAndRepair,Na
153,1120,$35,CENTURY QUALITY No.2,4089 So. 500 W.,MURRAY,84123,801-268-4280,Na,Na,Na,Na,Na,Na
154,1126,$32,SI AUTO REPAIR,3715 S 700 W,SALT LAKE CITY,84119,801-747-3284,25,0,Yes,10,TestAndRepair,Na
155,1128,$30,88 AUTO SERVICE,3847 So. REDWOOD RD,WEST VALLEY,84119,801-975-8088,30,0,No,Na,TestAndRepair,Na
156,1131,$32,HILLSIDE TIRE 4,3282 So. 5600 W.,WEST VALLEY CITY,84120,801-966-7700,35,0,No,Na,TestAndRepair,Na
157,1133,$40,JIFFY LUBE NO.3211,13184 S. 5600 W.,HERRIMAN,84096,801-254-8768,39,0,Yes,10,TestAndRepair,less than 4hr labor
158,1136,$21,CARMAX AUTO,11213 SOUTH JORDAN GATEWAY,SOUTH JORDAN,84095,801-316-2700,Na,Na,Na,Na,Na,Na
159,1137,$41,JIFFY LUBE NO.2319,3302 S 2000 E,SALT LAKE CITY,84109,801-486-0412,39,0,Yes,10,TestAndRepair,less than 4hr labor
160,1142,$30,EMISSIONS NOW,127 E. GORDON LN. (4190 So.),MURRAY,84107,801-261-5492,30,0,No,Na,Test+light repair,Na
161,1143,$33,ADVANCED AUTO REPAIR,3434 S MAIN ST,SALT LAKE CITY,84115,801-897-1254,25,0,No,Na,TestAndRepair,Na
162,1144,$41,BURT BROTHERS,944E 2100S.,SALT LAKE CITY,84106,801-466-7272,39.5,0,No,Na,TestAndRepair,Na
163,1146,$28,MARKOSIAN AUTO,4238 SO REDWOOD RD,TAYLORSVILLE,84123,801-886-1700,35,0,No,Na,TestAndRepair,Na
164,1150,$38,CASTANEDA 9TH WEST AUTO REPAIR,1939 S 900 W,SALT LAKE CITY,84104,801-972-2624,35,0,No,Na,TestAndRepair,Na
165,1154,$32,KEITH'S AUTOMOTIVE,2220 S 300 E,SALT LAKE CITY,84115,801-485-6092,Na,Na,Na,Na,Na,Na
166,1157,$35,QUICK I M AND AUTO REPAIR,3137 S MAIN A,SALT LAKE CITY,84115,801-467-5200,35,0,No,Na,TestAndRepair,Na
167,1161,$35,JT AUTOMOTIVE,2205 S 900 E,SALT LAKE CITY,84106,801-466-3763,35,0,No,Na,TestAndRepair,Na
168,1163,$28,FIRESTONE,4031 S HIGHLAND DR,HOLLADAY,84124,801-948-9142,27.5,0,No,Na,TestAndRepair,Na
169,1165,$21,V AND L AUTO SERVICES,1310 S 900 W,SALT LAKE CITY,84104,801-886-3381,35,0,No,Na,TestAndRepair,Na
170,1166,$39,APEXX EMISSIONS AND LUBE,3460 S 500 W,SALT LAKE CITY,84115,801-979-1249,35,0,No,Na,TestOnly,Na
171,1167,$34,A AND M PERFORMANCE CAR CARE,182 E 4050 S,SALT LAKE CITY,84107,801-262-4593,Na,Na,Na,Na,Na,Na
172,1173,$43,J AND S AUTO SERVICE INC,146 PUEBLO ST,SALT LAKE CITY,84104,801-364-9055,Na,Na,Na,Na,Na,Na
173,1174,$25,ROGER'S BRAKE INC,4221 S STATE ST,MURRAY,84107,801-262-9550,Na,Na,Na,Na,Na,Na
174,1180,$24,BBC EMISSION,4068 S MAIN ST #B,MURRAY,84107,801-747-2819,25,0,No,Na,TestAndRepair,Na
175,1181,$43,BURGA'S AUTO SERVICES,42 E MILLER AVE,SALT LAKE CITY,84115,801-467-3128,Na,Na,Na,Na,Na,Didn't pick up the phone/blocked number
176,1183,$40,JIFFY LUBE NO.2328,1804 E 4800 S,SALT LAKE CITY,84117,801-272-1962,39.99,0,Yes,10,TestOnly,Na
177,1185,$30,JOSHUA EMISSION,258 W LUCY AVE,SALT LAKE CITY,84101,801-363-2607,Na,Na,Na,Na,Na,Didn't pick up the phone/blocked number
178,1186,$27,THE TIRE ZONE,2990 S STATE ST,SALT LAKE CITY,84115,801-264-1087,Na,Na,Na,Na,Na,Didn't pick up the phone/blocked number
179,1187,$40,JIFFY LUBE NO.3252,7867 S AIRPORT RD,WEST JORDAN,84088,801-280-5505,39.99,0,Yes,10,TestAndRepair,Na
180,1189,$43,ALHERZ EMISSION AND REPAIR,4339 W 3500 S,WEST VALLEY CITY,84120,801-969-1417,35,0,Yes,5,TestAndRepair,Na
181,1190,$35,NATIONAL AUTO PLAZA,10790 S STATE ST,SANDY,84070,888-200-6128,35,0,No,Na,TestAndRepair,Na
182,1192,$43,JIFFY LUBE NO.2026,2102 S MAIN ST,SALT LAKE CITY,84115,801-467-1861,39,0,Yes,10,TestAndRepair,Na
