,No.,Station Id,Avg. Test Fees,Station Name,Address,City,ZIP,Phone Number,Price,Tax,On the Spot Registration,Registration/Sticker Fee,Service Type,Detailed Information
16,218.0,1269.0,$29,AUTO REPAIR SANCHEZ,4195 SO 500 W #74,MURRAY,84123.0,801-347-5033,30,0,No,Na,TestAndRepair,Na
17,407.0,1583.0,$25,A & P PROMOBILE INC.,2212 S W TEMPLE #28,SALT LAKE CITY,84115.0,801-699-4089,30,0,Yes,10,TestAndRepair,Na
18,317.0,1463.0,$35,CLIFF'S GARAGE,1489 SO MAJOR ST,SALT LAKE CITY,84115.0,801-359-4040,35,0,Na,Na,TestAndRepair,Na
19,125.0,1051.0,$45,KENT MUFFLER AND BRAKE,250 W 9210 S,SANDY,84070.0,801-816-1600,45,0,Yes,10,TestAndRepair,Na
20,213.0,1261.0,$38,MIDAS,875 E 2100 SO,SALT LAKE CITY,84106.0,801-487-0825,38,0,No,Na,TestAndRepair,Na
21,179.0,1187.0,$40,JIFFY LUBE NO.3252,7867 S AIRPORT RD,WEST JORDAN,84088.0,801-280-5505,39.99,0,Yes,10,TestAndRepair,Na
22,78.0,810.0,$43,UTAH SAFETY and EMISSIONS,3718 WEST 5400 SOUTH,KEARNS,84118.0,801-964-6630,35,35,Yes,10,TestAndRepair,Na
23,416.0,1592.0,$25,GUS PAULOS CHEVY,4050 W 3500 S,WEST VALLEY CITY,84120.0,801-758-8387,27,0,No,,TestAndRepair,Na
24,43.0,426.0,$34,TIRE WORLD,2627 SOUTH 300 WEST,SALT LAKE CITY,84115.0,801-487-6261,35,0,No,Na,TestAndRepair,Additional fees depend on vehicle.
25,155.0,1128.0,$30,88 AUTO SERVICE,3847 So. REDWOOD RD,WEST VALLEY,84119.0,801-975-8088,30,0,No,Na,TestAndRepair,Na
26,7.0,64.0,$35,NEIL'S PRO SERVICE,1204 WEST 600 NORTH,SALT LAKE CITY,84116.0,385- 489-0499,35,0,No,Na,TestAndRepair,Na
27,74.0,753.0,$32,ADVANCED AUTOMOTIVE,3994 So. 300 W. #1,MURRAY,84107.0,801-281-3028,25,0,No,Na,TestAndRepair,Additional fees depend on vehicle.
28,132.0,1072.0,$30,MURRAY AUTOMOTIVE,4872 S. 300 W.,MURRAY,84107.0,801-266-1663,30,0,No,Na,TestAndRepair,Na
29,210.0,1255.0,$25,AUTOMOTIVE SOLUTIONS,1321 SOUTH EARL DR,SALT LAKE CITY,84104.0,801-433-3433,25,0,No,Na,TestAndRepair,Na
30,198.0,1231.0,$21,B3NJI'S AUTO REPAIR,2747 S REDWOOD RD,WEST VALLEY CITY,84119.0,801-638-0381,35,0,Yes,15,TestAndRepair,Na
31,327.0,1480.0,$26,C B AUTO LLC,1661 W 900 S,SALT LAKE CITY,84104.0,801-532-0650,30,0,Na,Na,TestAndRepair,Na
32,194.0,1220.0,$35,UTAH FLEET SERVICES,371 W 1500 S,SALT LAKE CITY,84115.0,801-972-4433,35,0,No,Na,TestAndRepair,Na
33,90.0,915.0,$48,ACTION AUTO,497 E 3900 S,Salt Lake City,84107.0,801-268-1359,37,0,No,Na,TestAndRepair,Na
34,267.0,1354.0,$29,SPEEDY AUTO REPAIR,205 E 3300 SO,SALT LAKE CITY,84115.0,801-467-8427,28,0,Yes,Na,TestAndRepair,Na
